"class_name","class_rating","professor_name","overall","easiness","workload","clarity","helpfulness"
"ANTHRO 150","3.2","Sharman Babior","3.8","2.3","2.5","4.0","4.2"
"ANTHRO 150","3.2","Jena Barchas Lichtenste","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 150","3.2","Sharon Bays","3.2","2.4","2.2","3.6","3.8"
"ANTHRO 150","3.2","Niko Besnier","3.6","2.6","1.8","3.6","2.6"
"ANTHRO 150","3.2","Sherry Ortner","2.3","1.2","1.2","3.0","2.8"
"ANTHRO 153P","3.2","Abigail Levine","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 153P","3.2","Charles Stanish","3.2","1.4","1.0","3.4","3.4"
"ANTHRO 175S","3.2","Mariko Tamanoi","3.2","1.2","1.5","3.5","3.8"
"ANTHRO 186P","3.2","Robert Boyd","3.2","1.6","1.4","3.8","3.6"
"ANTHRO 191HB","3.2","Aomar Boum","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 191HB","3.2","Alan Fiske","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 191HB","3.2","C Throop","3.2","3.5","3.3","3.7","3.8"
"ANTHRO 34","3.2","Gail Kennedy","3.2","1.3","1.5","3.5","3.7"
"ANTHRO 34","3.2","Suzanne Wertheim","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 7","3.2","Harold Barrett","3.1","1.3","1.9","2.9","3.3"
"ANTHRO 7","3.2","Robert Boyd","3.8","1.7","1.3","3.3","4.0"
"ANTHRO 7","3.2","Katherine Coffing","2.6","1.4","1.4","2.7","2.3"
"ANTHRO 7","3.2","Daniel Fessler","3.5","1.0","1.5","4.5","3.8"
"ANTHRO 7","3.2","Angeline Gunawardena","3.8","2.6","2.2","3.8","4.6"
"ANTHRO 7","3.2","Barrett Harold","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 7","3.2","Joseph Manson","2.3","2.3","2.7","2.8","3.2"
"ANTHRO 7","3.2","Dwight Read","2.5","3.0","2.8","2.5","3.5"
"ANTHRO 7","3.2","Brooke Scelza","4.2","2.2","2.5","3.8","3.2"
"ANTHRO 7","3.2","Joan Silk","3.5","1.2","1.3","3.3","3.7"
"ANTHRO 113P","3.1","Scott Pletka","2.2","3.8","3.0","4.0","3.0"
"ANTHRO 113P","3.1","Greg Schachner","3.3","2.5","2.7","3.5","3.2"
"ANTHRO 147","3.1","Netta Avineri","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Jena Barchas Lichtenste","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Erica Cartmill","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Begona Echeverria","3.5","2.2","2.2","3.0","3.2"
"ANTHRO 147","3.1","Abreham Fanta","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Rachel George","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Marjorie Goodwin","2.2","1.5","1.7","2.8","2.2"
"ANTHRO 147","3.1","Paul Kroskrity","3.1","2.3","2.4","3.6","3.7"
"ANTHRO 147","3.1","J Lichtenstein","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 147","3.1","Frances Marti","N/A","N/A","N/A","N/A","N/A"
"ANTHRO 171","3.1","Worku Nida","2.2","3.5","3.0","2.5","2.2"
"ANTHRO 171","3.1","Susan Slyomovics","3.7","1.8","1.0","3.5","2.5"
"ANTHRO 113R","3.0","S Morley","N/A","N/A","N/A","N/A","N/A"
