"course_id","similar_course_id","score"
"ANTHRO CM110Q","AN N EA CM169","0.89734432080742488"
"ANTHRO CM110Q","ANTHRO 139","0.14291917626376094"
"MUSC 62BW","MUSC 162BW","0.11469811876242496"
"DESMA 8","FILM TV 51","0.11763730226390469"
"URBN PL M167","URBN PL M110","0.15299732497716084"
"URBN PL M167","POL SCI 186","0.10226889217994421"
"URBN PL M160","URBN PL 129","0.11201680645013357"
"URBN PL M160","ENVIRON M130","0.10889416382819134"
"EDUC 188SB","PSYCH 188SB","0.90847894137696583"
"EDUC 188SB","GENDER 188SB","0.61578822572305447"
"EDUC 188SB","EPIDEM 188SB","0.4442312716648163"
"EDUC 139","EDUC 187","0.10123171431536779"
"SPAN 160","SPAN 119","0.2445967054125083"
"SPAN 160","SPAN 135","0.14936957812334198"
"SPAN 160","SPAN 150","0.12099120387166093"
"ENGL 145","ENGL 141","0.17524897281038102"
"ENGL 145","ENGL 142","0.1233632901323536"
"ENGL 141","ENGL 142","0.22896200099868155"
"ENGL 141","ENGL 145","0.17524897281038102"
"ENGL 141","FRNCH 114A","0.12407713858178411"
"ENGL 141","ENGL 153","0.10271661045883525"
"ENGL 141","ENGL 150A","0.10246530150453068"
"ENGL 142","ENGL 141","0.22896200099868155"
"ENGL 142","ENGL 150B","0.1943717886407384"
"ENGL 142","ENGL 145","0.1233632901323536"
"PUB HLT 188SB","PSYCH 188SB","0.42678287744216109"
"PUB HLT 188SB","GENDER 188SB","0.41354090857378978"
"CHICANO 143","CHICANO M159B","0.12848054256575764"
"CHICANO 143","ASIA AM 167","0.117908066690739"
"CHICANO 143","CHICANO 153","0.10320525278679571"
"CHICANO 142","WL ARTS C142","0.11930341352811261"
"LING 130","LING 132","0.39830459581240224"
"LING 130","LING M141","0.23997413567557321"
"LING 130","LING 102","0.20128993462607503"
"LING 130","LING 165B","0.17849588545679493"
"LING 130","LING 120C","0.16507092583328983"
"LING 130","LING 103","0.14575724410791013"
"LING 132","LING 130","0.39830459581240224"
"LING 132","LING 110G","0.13057972437271453"
"PSYCH 119C","PSYCH 152","0.12262806049298575"
"PSYCH 119C","PSYCH 119J","0.1143992130026006"
"ARMENIA 102B","ARMENIA 105B","0.92704013931014762"
"ARMENIA 102B","ARMENIA 104B","0.87403712733510397"
"SPAN 4","SPAN 3","0.38547336788077968"
"SPAN 4","SPAN 2","0.38547336788077968"
"SPAN 4","SPAN 1","0.38547336788077968"
"SPAN 4","SPAN 7A","0.36633443533919952"
"SPAN 5","SPAN 3","0.38547336788077968"
"SPAN 5","SPAN 2","0.38547336788077968"
"SPAN 5","SPAN 1","0.38547336788077968"
"SPAN 5","SPAN 7A","0.36633443533919952"
"SPAN 2","SPAN 7A","0.68595600893752928"
"SPAN 2","PORTGSE 2","0.57037734615154889"
"SPAN 2","SPAN 5","0.38547336788077968"
"SPAN 2","SPAN 4","0.38547336788077968"
"SPAN 2","SPAN 11A","0.10018128187612693"
"SPAN 3","SPAN 7A","0.68595600893752928"
"SPAN 3","PORTGSE 2","0.57037734615154889"
"SPAN 3","SPAN 5","0.38547336788077968"
"SPAN 3","SPAN 4","0.38547336788077968"
"SPAN 3","SPAN 11A","0.10018128187612693"
"PSYCH 119V","PHILOS 161","0.13913780975904277"
"PSYCH 119V","PSYCH 152","0.10912413902105318"
"ASIA AM 132A","ASIA AM 167","0.26186989734485699"
"ASIA AM 132A","ASIA AM 187C","0.17318418582178158"
"ASIA AM 132A","ASIA AM 187B","0.16288614816277655"
"ASIA AM 132A","ASIA AM 103","0.1286092685042316"
"ASIA AM 132A","KOREA CM120","0.12565843135014804"
"ASIA AM 132A","LING M177","0.11158180476079635"
"MUSC 61EW","MUSC 161EW","0.11331011713736122"
"PHILOS 133","PHILOS 170","0.22921820656958236"
"PSYCH 101","PSYCH 120A","0.19245691862871642"
"PSYCH 101","PSYCH 152","0.11405260867850235"
"LING M176A","JAPAN CM122","0.59708323892836634"
"INF STD 20","INF STD 30","0.1918507779522147"
"INF STD 20","INF STD 10","0.1344845829426029"
"MATH 132H","MATH 132","0.11253117298403212"
"COM LIT CM170","GENDER CM170","0.73119608404831093"
"PHYSICS 98XB","MATH 98XB","0.97272316882450205"
"PHYSICS 98XB","CHEM 98XB","0.91421176196990117"
"PHYSICS 98XB","MATH 98XA","0.84915919656004424"
"PHYSICS 98XB","CHEM 98XA","0.79808043044584365"
"PHYSICS 98XA","MATH 98XA","0.97272316882450205"
"PHYSICS 98XA","CHEM 98XA","0.91421176196990117"
"PHYSICS 98XA","MATH 98XB","0.84915919656004424"
"PHYSICS 98XA","CHEM 98XB","0.79808043044584365"
"ART HIS C170A","ART HIS C148G","0.18281064574878572"
